date,frozen,present,frac
2016-02-08,45,45,1.0
2016-02-09,45,45,1.0
2016-07-06,45,45,1.0
2016-07-07,45,45,1.0
2017-01-02,45,45,1.0
2017-04-24,45,45,1.0
2017-06-26,45,45,1.0
2017-06-27,45,45,1.0
2017-08-31,45,45,1.0
2017-09-01,45,45,1.0
2017-09-04,38,38,1.0
2017-09-22,45,45,1.0
2017-10-18,45,45,1.0
2017-12-01,46,47,0.979
2017-12-25,46,46,1.0
2018-02-16,19,19,1.0
2018-05-30,45,47,0.957
2018-05-31,45,47,0.957
2019-06-05,46,46,1.0
2019-06-06,46,46,1.0
2020-03-13,31,48,0.646
2020-06-02,47,48,0.979
2026-01-19,49,50,0.98
2026-03-20,49,49,1.0
2026-05-27,49,49,1.0
2026-06-02,49,50,0.98
2026-08-25,36,36,1.0
2026-08-31,49,49,1.0
