ticker,status,why,rows_raw,removed_global,residual_frozen_pct,rows_clean,max_gap_days
1015.KL,DROP,baki beku 3.33%,2877,28,3.33,0,0
0097.KL,DROP,baki beku 2.74%,2877,28,2.74,0,0
1961.KL,DROP,baki beku 2.28%,2876,27,2.28,0,0
5099.KL,DROP,baki beku 2.25%,2877,28,2.25,0,0
4707.KL,DROP,baki beku 2.07%,2876,27,2.07,0,0
5258.KL,FLAG,jurang 14h,2876,27,1.47,2807,14
1066.KL,FLAG,jurang 29h,2877,28,0.74,2828,29
0128.KL,KEEP,,2877,28,0.7,2829,7
5031.KL,KEEP,,2876,27,0.49,2835,6
8869.KL,FLAG,jurang 24h,2876,27,0.46,2836,24
7084.KL,KEEP,,2876,27,0.35,2839,6
2488.KL,FLAG,jurang 15h,2876,27,0.32,2840,15
7293.KL,KEEP,,2876,27,0.25,2842,6
IDX_KLSE,KEEP,,2856,7,0.21,2843,6
0138.KL,KEEP,,2877,28,0.21,2843,9
1082.KL,KEEP,,2876,27,0.18,2844,6
5246.KL,KEEP,,2875,26,0.18,2844,6
2445.KL,KEEP,,2876,27,0.14,2845,6
6888.KL,KEEP,,2875,26,0.14,2845,6
5176.KL,KEEP,,2875,26,0.14,2845,6
6947.KL,KEEP,,2875,26,0.14,2845,6
4197.KL,KEEP,,2876,27,0.11,2846,6
5398.KL,KEEP,,2877,28,0.11,2846,6
0166.KL,KEEP,,2875,26,0.07,2847,7
1295.KL,KEEP,,2877,28,0.07,2847,6
3336.KL,KEEP,,2876,27,0.07,2847,6
5296.KL,KEEP,,1437,5,0.07,1431,6
5211.KL,KEEP,,2874,25,0.07,2847,6
6012.KL,KEEP,,2875,26,0.04,2848,6
6033.KL,KEEP,,2876,27,0.04,2848,6
3182.KL,KEEP,,2877,28,0.04,2848,6
1155.KL,KEEP,,2876,27,0.04,2848,6
7160.KL,KEEP,,2876,27,0.04,2848,6
5347.KL,KEEP,,2876,27,0.04,2848,6
4715.KL,KEEP,,2876,27,0.04,2848,6
4677.KL,KEEP,,2875,26,0.04,2848,6
0208.KL,KEEP,,1774,7,0.0,1767,6
1023.KL,KEEP,,2877,28,0.0,2849,6
4065.KL,KEEP,,2877,28,0.0,2849,6
3816.KL,KEEP,,2877,28,0.0,2849,6
4863.KL,KEEP,,2876,27,0.0,2849,6
5168.KL,KEEP,,2875,26,0.0,2849,6
5285.KL,KEEP,,2149,14,0.0,2135,6
5225.KL,KEEP,,2875,26,0.0,2849,6
5183.KL,KEEP,,2875,26,0.0,2849,6
5681.KL,KEEP,,2877,28,0.0,2849,6
6742.KL,KEEP,,2876,27,0.0,2849,6
5819.KL,KEEP,,2877,28,0.0,2849,6
5326.KL,DROP,tak cukup baris,490,5,0.0,485,5
7277.KL,KEEP,,2876,27,0.0,2849,6
