horizon,strategy,n,dir_acc,ci_lo,ci_hi,gross_med,gross_mean,cost,net_med,net_mean,vs_rand,p
1,A_rsi,247,42.1,35.9,48.3,0.0,0.051,0.967,-0.802,-0.916,sama,0.592
1,B_ma_cross,1489,43.7,41.2,46.2,0.0,0.126,0.879,-0.654,-0.753,sama,0.911
1,C_breakout,3352,44.8,43.2,46.5,0.0,0.161,0.901,-0.686,-0.74,sama,0.534
1,D_random,1685,43.9,41.5,46.3,0.0,0.012,0.926,-0.665,-0.915,—,
1,E_momentum,6205,46.4,45.1,47.6,0.0,0.229,1.031,-0.754,-0.802,sama,0.074
1,Z_all_days,22776,44.1,43.5,44.8,0.0,0.103,0.902,-0.661,-0.8,—,
3,A_rsi,247,49.4,43.2,55.6,0.0,0.277,0.967,-0.524,-0.69,sama,0.948
3,B_ma_cross,1486,43.7,41.2,46.2,0.0,0.121,0.879,-0.814,-0.758,TERUK,0.001
3,C_breakout,3341,48.6,46.9,50.3,0.0,0.393,0.902,-0.644,-0.509,sama,0.488
3,D_random,1683,49.6,47.2,52.0,0.0,0.377,0.945,-0.554,-0.568,—,
3,E_momentum,6197,50.2,49.0,51.5,0.115,0.631,1.031,-0.632,-0.401,sama,0.66
3,Z_all_days,22748,48.7,48.1,49.4,0.0,0.305,0.903,-0.59,-0.598,—,
5,A_rsi,247,47.8,41.5,54.0,0.0,0.338,0.967,-0.796,-0.629,sama,0.393
5,B_ma_cross,1483,45.5,43.0,48.1,0.0,0.251,0.879,-0.74,-0.628,TERUK,0.004
5,C_breakout,3337,49.5,47.8,51.2,0.0,0.648,0.903,-0.581,-0.254,sama,0.42
5,D_random,1689,50.7,48.3,53.1,0.14,0.498,0.932,-0.501,-0.434,—,
5,E_momentum,6193,52.3,51.1,53.6,0.362,0.993,1.032,-0.476,-0.039,sama,0.224
5,Z_all_days,22720,50.5,49.9,51.2,0.124,0.506,0.903,-0.506,-0.397,—,
10,A_rsi,246,54.1,47.8,60.3,0.689,1.024,0.969,-0.153,0.056,sama,0.775
10,B_ma_cross,1476,49.0,46.4,51.5,0.0,0.583,0.88,-0.632,-0.297,TERUK,0.021
10,C_breakout,3332,53.8,52.1,55.4,0.545,1.366,0.903,-0.219,0.462,sama,0.658
10,D_random,1682,53.1,50.7,55.5,0.458,1.01,0.978,-0.324,0.032,—,
10,E_momentum,6186,56.3,55.0,57.5,0.98,1.995,1.032,0.094,0.962,BAIK,0.021
10,Z_all_days,22650,53.2,52.5,53.8,0.422,0.994,0.904,-0.324,0.09,—,
20,A_rsi,245,53.5,47.2,59.7,0.725,1.917,0.97,0.039,0.947,sama,0.376
20,B_ma_cross,1467,52.6,50.0,55.1,0.416,1.402,0.882,-0.324,0.52,TERUK,0.028
20,C_breakout,3322,56.6,54.9,58.3,1.092,2.834,0.905,0.311,1.93,sama,0.937
20,D_random,1668,56.5,54.1,58.9,1.005,2.365,0.908,0.282,1.457,—,
20,E_momentum,6181,58.5,57.2,59.7,1.797,3.629,1.033,0.855,2.597,sama,0.146
20,Z_all_days,22510,55.2,54.5,55.8,0.764,1.981,0.905,0.089,1.076,—,
