ticker,price,tick_pct,open_eq_prev_pct,sub_tick_pct,gap_median_pct,gap_p75_pct
0138.KL,0.24,2.083,49.5,85.0,0.5025,0.615
5176.KL,2.08,0.481,72.3,72.7,0.0,0.418
5099.KL,0.325,1.538,53.9,72.1,0.0,0.98
4197.KL,2.6,0.385,61.5,61.5,0.0,0.462
5296.KL,1.33,0.752,60.3,60.7,0.0,0.61
5258.KL,2.12,0.472,58.7,58.7,0.0,0.429
5326.KL,3.43,0.292,55.8,55.8,0.0,0.424
4715.KL,1.63,0.613,54.5,54.5,0.0,0.495
7293.KL,2.07,0.483,52.1,52.1,0.0,0.446
7277.KL,2.01,0.498,50.7,50.9,0.0,0.617
1066.KL,8.31,0.12,50.3,50.3,0.0,0.256
6012.KL,3.57,0.28,49.9,49.9,0.2381,0.496
6888.KL,1.77,0.565,49.3,49.3,0.3704,0.503
5168.KL,0.955,0.524,48.5,49.3,0.2841,0.803
5031.KL,6.0,0.167,48.7,48.9,0.1645,0.382
3182.KL,2.04,0.49,45.1,48.5,0.2519,0.396
1155.KL,10.58,0.189,48.1,48.3,0.1008,0.21
2488.KL,5.04,0.198,46.3,46.3,0.1988,0.418
5211.KL,4.97,0.201,45.9,45.9,0.1822,0.435
1961.KL,4.79,0.209,44.9,44.9,0.2439,0.491
7084.KL,3.83,0.261,43.7,44.1,0.2155,0.446
6947.KL,2.71,0.369,42.7,43.1,0.2667,0.535
1015.KL,6.91,0.145,41.7,41.7,0.1727,0.385
1295.KL,5.0,0.2,41.7,41.7,0.2123,0.399
5225.KL,7.99,0.125,41.5,41.5,0.1412,0.551
5347.KL,13.68,0.146,40.5,40.5,0.1419,0.301
6742.KL,5.75,0.174,40.3,40.3,0.2618,0.628
5819.KL,23.88,0.084,39.9,39.9,0.1048,0.472
4677.KL,2.4,0.417,39.1,39.1,0.4425,0.844
3336.KL,2.94,0.34,38.9,38.9,0.3571,0.662
5285.KL,6.4,0.156,38.1,38.1,0.2049,0.612
4863.KL,7.78,0.129,37.9,37.9,0.1517,0.576
8869.KL,7.97,0.125,37.3,37.5,0.2012,0.511
5398.KL,4.67,0.214,36.5,36.7,0.2242,0.515
0097.KL,9.0,0.111,36.3,36.5,0.2667,0.792
0128.KL,4.95,0.202,36.5,36.5,0.2506,0.726
5246.KL,6.87,0.146,34.9,35.1,0.2278,0.653
4065.KL,9.96,0.1,34.9,34.9,0.1883,0.539
0208.KL,2.55,0.392,34.7,34.7,0.4926,1.099
5183.KL,4.3,0.233,34.5,34.5,0.2915,0.714
0166.KL,2.61,0.383,33.3,33.5,0.4651,1.008
6033.KL,17.62,0.114,33.5,33.5,0.1163,0.568
7160.KL,5.09,0.196,33.3,33.3,0.3448,0.885
1023.KL,7.99,0.125,33.3,33.3,0.1431,0.403
1082.KL,18.98,0.105,32.5,32.5,0.1235,0.465
3816.KL,7.77,0.129,32.3,32.3,0.2564,0.641
5681.KL,20.38,0.098,30.5,30.5,0.2068,0.725
4707.KL,94.48,0.021,27.9,27.9,0.1905,0.585
2445.KL,22.38,0.089,25.5,25.5,0.3043,0.759
