ticker,keep,why,rows,first,last,price,turnover_med_rm,turnover_p10_rm,participation_pct,range_1d_pct,move_3d_med_pct,move_3d_p75_pct,edge_days_pct,vol_annual_pct
1155.KL,KEEP,,2848,2015-01-02,2026-09-03,10.58,111941994,58638560,0.009,0.99,0.75,1.37,65.4,14.6
1023.KL,KEEP,,2849,2015-01-02,2026-09-03,7.99,109636114,55366286,0.009,1.47,1.18,2.5,73.0,22.6
5347.KL,KEEP,,2848,2015-01-02,2026-09-03,13.68,84611247,42021383,0.012,1.36,0.96,1.77,70.8,17.5
1295.KL,KEEP,,2847,2015-01-02,2026-09-03,5.0,75668863,38516930,0.013,1.39,1.07,1.79,72.6,19.0
5398.KL,KEEP,,2846,2015-01-02,2026-09-03,4.67,71754736,35387586,0.014,2.27,1.82,3.15,83.0,30.8
0138.KL,KEEP,,2843,2015-01-02,2026-09-03,0.24,43955748,20577968,0.023,2.45,1.77,3.53,89.8,57.0
8869.KL,KEEP,,2836,2015-01-02,2026-09-03,7.97,43572524,13673772,0.023,2.18,1.52,2.78,83.0,28.5
5225.KL,KEEP,,2849,2015-01-02,2026-09-03,7.99,42808366,18756464,0.023,1.54,0.91,1.77,71.4,17.5
1066.KL,KEEP,,2828,2015-01-02,2026-09-03,8.31,39030182,18410717,0.026,1.21,0.92,1.61,67.6,16.6
6742.KL,KEEP,,2849,2015-01-02,2026-09-03,5.75,36124099,19621873,0.028,2.83,2.44,4.71,86.8,40.8
4863.KL,KEEP,,2849,2015-01-02,2026-09-03,7.78,31798898,14900698,0.031,1.69,1.01,1.78,71.8,20.7
4677.KL,KEEP,,2848,2015-01-02,2026-09-03,2.4,31527595,15634407,0.032,3.2,2.62,5.33,87.0,44.8
5211.KL,KEEP,,2847,2015-01-02,2026-09-03,4.97,31054171,12018503,0.032,1.95,1.43,2.71,81.0,27.5
0166.KL,KEEP,,2847,2015-01-02,2026-09-03,2.61,25170539,11773322,0.04,3.27,2.96,5.18,89.6,50.9
5285.KL,KEEP,,2135,2017-11-30,2026-09-03,6.4,25124040,6459403,0.04,1.82,1.12,1.99,73.8,21.2
3336.KL,KEEP,,2847,2015-01-02,2026-09-03,2.94,19051798,8957584,0.052,2.72,2.22,4.0,84.8,35.9
5183.KL,KEEP,,2849,2015-01-02,2026-09-03,4.3,18690724,8205162,0.054,3.17,2.82,5.52,90.4,54.9
5819.KL,KEEP,,2849,2015-01-02,2026-09-03,23.88,18459703,6859917,0.054,1.34,0.96,1.67,71.0,17.4
4197.KL,KEEP,,2846,2015-01-02,2026-09-03,2.6,17982291,8144355,0.056,2.46,1.84,3.14,80.4,35.2
5296.KL,KEEP,,1431,2020-10-26,2026-09-03,1.33,16469990,8114602,0.061,2.71,1.9,3.45,89.6,34.0
5246.KL,KEEP,,2844,2015-01-02,2026-09-03,6.87,15579564,2712160,0.064,1.93,1.23,2.17,76.4,23.5
3816.KL,KEEP,,2849,2015-01-02,2026-09-03,7.77,14888124,6172592,0.067,1.62,1.19,1.98,76.4,20.1
0128.KL,KEEP,,2829,2015-01-02,2026-09-03,4.95,13944277,4653473,0.072,2.48,1.98,3.45,83.0,36.3
3182.KL,KEEP,,2848,2015-01-02,2026-09-03,2.04,13837082,6559035,0.072,1.82,1.48,2.64,81.4,27.6
7277.KL,KEEP,,2849,2015-01-02,2026-09-03,2.01,12476699,5675972,0.08,2.69,2.02,3.68,88.8,38.1
6888.KL,KEEP,,2845,2015-01-02,2026-09-03,1.77,11828953,5475152,0.085,2.71,1.78,3.21,81.8,32.7
4715.KL,KEEP,,2848,2015-01-02,2026-09-03,1.63,10883832,2530906,0.092,1.82,1.23,2.37,75.0,29.0
5168.KL,KEEP,,2849,2015-01-02,2026-09-03,0.955,10259082,4109688,0.097,3.36,2.67,4.82,91.0,53.1
6947.KL,KEEP,,2845,2015-01-02,2026-09-03,2.71,9186144,4191820,0.109,1.92,1.34,2.4,82.8,23.1
7084.KL,KEEP,,2839,2015-01-02,2026-09-03,3.83,9093768,3765631,0.11,1.74,1.18,2.09,74.8,20.2
2445.KL,KEEP,,2845,2015-01-02,2026-09-03,22.38,8581422,3130020,0.117,1.7,1.25,2.11,78.2,21.2
6033.KL,KEEP,,2848,2015-01-02,2026-09-03,17.62,8166737,3875979,0.122,1.51,0.8,1.48,68.0,17.3
6012.KL,KEEP,,2848,2015-01-02,2026-09-03,3.57,7841556,3958988,0.128,1.94,1.37,2.27,82.4,24.7
2488.KL,KEEP,,2840,2015-01-02,2026-09-03,5.04,7530102,2616795,0.133,1.55,1.17,2.09,76.6,22.5
5681.KL,KEEP,,2849,2015-01-02,2026-09-03,20.38,7413610,2216922,0.135,2.25,1.63,3.0,82.2,30.8
0208.KL,KEEP,,1767,2019-06-13,2026-09-03,2.55,6584314,2145381,0.152,3.78,3.01,5.29,90.0,49.8
7293.KL,KEEP,,2842,2015-01-02,2026-09-03,2.07,6327229,2735270,0.158,2.3,1.54,2.63,75.8,33.8
5031.KL,KEEP,,2835,2015-01-02,2026-09-03,6.0,6254975,1959036,0.16,1.54,0.97,1.79,71.6,19.3
4065.KL,KEEP,,2849,2015-01-02,2026-09-03,9.96,5938053,2481212,0.168,1.9,1.45,2.73,80.0,26.8
5176.KL,KEEP,,2845,2015-01-02,2026-09-03,2.08,5658975,1653579,0.177,1.83,1.34,2.27,76.6,20.9
7160.KL,KEEP,,2848,2015-01-02,2026-09-03,5.09,5515608,1633727,0.181,3.23,2.89,5.54,91.6,49.1
1082.KL,DROP,turnover rendah,2844,2015-01-02,2026-09-03,18.98,2004401,609046,0.499,1.14,0.85,1.64,67.8,16.6
5258.KL,DROP,turnover rendah,2807,2015-01-02,2026-09-03,2.12,1945690,633973,0.514,1.35,0.88,1.69,62.4,18.4
