ticker,keep,why,rows_total,first,last,price,turnover_median_rm,turnover_p25_rm,range_median_pct,vol_annual_pct,gap_median_pct,dead_days_pct
1155.KL,DROP,tak cukup gerak; banyak hari mati,2876,2015-01-02,2026-09-03,10.58,110993623,77253886,0.98,14.5,0.1,13.0
1023.KL,KEEP,,2877,2015-01-02,2026-09-03,7.99,108458628,72772205,1.46,22.6,0.14,9.0
5347.KL,DROP,banyak hari mati,2876,2015-01-02,2026-09-03,13.68,84337340,58086264,1.36,17.4,0.14,13.0
1295.KL,DROP,banyak hari mati,2877,2015-01-02,2026-09-03,5.0,75225539,52153458,1.38,18.2,0.21,11.8
5398.KL,KEEP,,2877,2015-01-02,2026-09-03,4.67,71012809,46176987,2.25,30.7,0.22,8.2
0138.KL,DROP,banyak hari mati,2877,2015-01-02,2026-09-03,0.24,43650349,29986949,2.45,56.8,0.5,13.6
8869.KL,KEEP,,2876,2015-01-02,2026-09-03,7.97,43572524,21139580,2.16,28.4,0.2,8.6
5225.KL,DROP,banyak hari mati,2875,2015-01-02,2026-09-03,7.99,42664380,27218542,1.54,17.5,0.14,12.6
1066.KL,DROP,banyak hari mati,2877,2015-01-02,2026-09-03,8.31,38915118,26765801,1.2,16.6,0.0,11.2
6742.KL,KEEP,,2876,2015-01-02,2026-09-03,5.75,35470486,24396386,2.79,39.2,0.26,9.2
1015.KL,DROP,banyak hari mati,2877,2015-01-02,2026-09-03,6.91,33210545,21328426,1.63,20.1,0.17,13.4
4863.KL,DROP,banyak hari mati,2876,2015-01-02,2026-09-03,7.78,31409077,21616784,1.67,20.7,0.15,11.4
4677.KL,DROP,banyak hari mati,2875,2015-01-02,2026-09-03,2.4,31227693,21331434,3.19,44.1,0.44,11.8
5211.KL,DROP,banyak hari mati,2874,2015-01-02,2026-09-03,4.97,30670782,20012900,1.94,27.2,0.18,13.2
5285.KL,DROP,banyak hari mati,2149,2017-11-30,2026-09-03,6.4,25124040,10150961,1.81,21.1,0.2,11.6
0166.KL,KEEP,,2875,2015-01-02,2026-09-03,2.61,25024910,16616359,3.26,50.7,0.47,9.2
3336.KL,KEEP,,2876,2015-01-02,2026-09-03,2.94,18780731,12449256,2.67,35.8,0.36,8.8
5183.KL,KEEP,,2875,2015-01-02,2026-09-03,4.3,18402201,11386367,3.16,54.8,0.29,6.2
5819.KL,DROP,banyak hari mati,2877,2015-01-02,2026-09-03,23.88,18330891,10449142,1.33,17.4,0.1,11.0
4197.KL,DROP,banyak hari mati,2876,2015-01-02,2026-09-03,2.6,17471963,11774856,2.45,35.0,0.0,15.2
5326.KL,DROP,sejarah pendek,490,2024-09-09,2026-09-03,3.43,17167991,10567017,2.41,28.1,0.0,10.0
5296.KL,DROP,banyak hari mati,1437,2020-10-26,2026-09-03,1.33,16413921,11291824,2.7,33.9,0.0,15.4
5246.KL,DROP,banyak hari mati,2875,2015-01-02,2026-09-03,6.87,15579564,6795153,1.9,23.4,0.23,11.2
3816.KL,DROP,banyak hari mati,2877,2015-01-02,2026-09-03,7.77,14689245,8595408,1.61,20.1,0.26,10.8
3182.KL,DROP,banyak hari mati,2877,2015-01-02,2026-09-03,2.04,13660126,8727023,1.81,27.5,0.25,10.8
0128.KL,KEEP,,2877,2015-01-02,2026-09-03,4.95,13463000,7662208,2.46,36.0,0.25,9.0
7277.KL,DROP,banyak hari mati,2876,2015-01-02,2026-09-03,2.01,12442106,7941648,2.69,37.9,0.0,17.2
6888.KL,DROP,banyak hari mati,2875,2015-01-02,2026-09-03,1.77,11583371,7604701,2.68,32.6,0.37,14.2
4715.KL,DROP,banyak hari mati,2876,2015-01-02,2026-09-03,1.63,10498106,4843760,1.82,29.0,0.0,18.6
5168.KL,DROP,banyak hari mati,2875,2015-01-02,2026-09-03,0.955,10067592,6108497,3.35,53.0,0.28,12.4
6947.KL,KEEP,,2875,2015-01-02,2026-09-03,2.71,9055154,6072188,1.91,23.0,0.27,10.0
7084.KL,DROP,banyak hari mati,2876,2015-01-02,2026-09-03,3.83,8961458,5690066,1.74,20.1,0.22,11.6
2445.KL,KEEP,,2876,2015-01-02,2026-09-03,22.38,8427266,5021569,1.68,21.1,0.3,7.6
1961.KL,DROP,banyak hari mati,2876,2015-01-02,2026-09-03,4.79,8300580,4645294,1.52,18.0,0.24,18.0
5099.KL,DROP,banyak hari mati,2877,2015-01-02,2026-09-03,0.325,8168534,4473579,3.13,81.3,0.0,15.2
6033.KL,DROP,banyak hari mati,2876,2015-01-02,2026-09-03,17.62,8120642,5528527,1.5,17.3,0.12,12.2
6012.KL,DROP,banyak hari mati,2875,2015-01-02,2026-09-03,3.57,7835746,5228010,1.93,24.6,0.24,11.0
4707.KL,KEEP,,2876,2015-01-02,2026-09-03,94.48,7352488,4324021,1.87,27.1,0.19,7.2
5681.KL,KEEP,,2877,2015-01-02,2026-09-03,20.38,7263869,4160203,2.23,30.3,0.21,6.8
2488.KL,DROP,banyak hari mati,2876,2015-01-02,2026-09-03,5.04,7241485,4494360,1.53,22.3,0.2,12.8
0208.KL,KEEP,,1774,2019-06-13,2026-09-03,2.55,6571582,3632396,3.77,49.6,0.49,8.6
5031.KL,DROP,banyak hari mati,2876,2015-01-02,2026-09-03,6.0,6254975,3334011,1.53,19.1,0.16,14.2
7293.KL,DROP,banyak hari mati,2876,2015-01-02,2026-09-03,2.07,6151795,4126605,2.25,33.6,0.0,17.4
4065.KL,DROP,banyak hari mati,2877,2015-01-02,2026-09-03,9.96,5828126,3713075,1.88,26.6,0.19,12.2
5176.KL,DROP,banyak hari mati,2875,2015-01-02,2026-09-03,2.08,5658975,3042240,1.83,20.8,0.0,20.4
0097.KL,KEEP,,2877,2015-01-02,2026-09-03,9.0,5624016,2737767,3.12,44.8,0.27,7.2
7160.KL,KEEP,,2876,2015-01-02,2026-09-03,5.09,5515608,2793992,3.23,49.0,0.34,6.2
1082.KL,DROP,turnover rendah; tak cukup gerak,2876,2015-01-02,2026-09-03,18.98,1926514,1023146,1.12,16.5,0.12,9.2
5258.KL,DROP,turnover rendah; banyak hari mati,2876,2015-01-02,2026-09-03,2.12,1851574,1023134,1.34,17.9,0.0,23.0
