ticker,keep,why,rows_total,last,price,turnover_median_rm,range_median_pct,gap_median_pct,vol_annual_pct,dead_days_pct,flat_close_pct,synth_open_pct
1155.KL,DROP,tak cukup gerak,2876,2026-09-03,10.58,110993623,0.98,0.101,14.5,1.2,13.0,15.6
1023.KL,DROP,tak cukup gerak,2877,2026-09-03,7.99,108458628,1.46,0.143,22.6,1.2,9.0,11.2
5347.KL,DROP,tak cukup gerak,2876,2026-09-03,13.68,84337340,1.36,0.142,17.4,1.2,13.0,14.0
1295.KL,DROP,tak cukup gerak,2877,2026-09-03,5.0,75225539,1.38,0.212,18.2,1.6,11.8,15.4
5398.KL,KEEP,,2877,2026-09-03,4.67,71012809,2.25,0.224,30.7,1.2,8.2,7.4
0138.KL,KEEP,,2877,2026-09-03,0.24,43650349,2.45,0.503,56.8,1.2,13.6,9.0
8869.KL,KEEP,,2876,2026-09-03,7.97,43572524,2.16,0.201,28.4,1.2,8.6,7.4
5225.KL,KEEP,,2875,2026-09-03,7.99,42664380,1.54,0.141,17.5,1.0,12.6,14.6
1066.KL,DROP,tak cukup gerak,2877,2026-09-03,8.31,38915118,1.2,0.0,16.6,1.2,11.2,17.2
6742.KL,KEEP,,2876,2026-09-03,5.75,35470486,2.79,0.262,39.2,1.2,9.2,8.2
1015.KL,KEEP,,2877,2026-09-03,6.91,33210545,1.63,0.173,20.1,1.2,13.4,11.0
4863.KL,KEEP,,2876,2026-09-03,7.78,31409077,1.67,0.152,20.7,1.2,11.4,5.0
4677.KL,KEEP,,2875,2026-09-03,2.4,31227693,3.19,0.442,44.1,1.2,11.8,23.8
5211.KL,KEEP,,2874,2026-09-03,4.97,30670782,1.94,0.182,27.2,1.2,13.2,17.8
5285.KL,KEEP,,2149,2026-09-03,6.4,25124040,1.81,0.205,21.1,1.0,11.6,12.6
0166.KL,KEEP,,2875,2026-09-03,2.61,25024910,3.26,0.465,50.7,1.0,9.2,9.0
3336.KL,KEEP,,2876,2026-09-03,2.94,18780731,2.67,0.357,35.8,1.4,8.8,7.4
5183.KL,KEEP,,2875,2026-09-03,4.3,18402201,3.16,0.292,54.8,1.0,6.2,3.4
