ticker,price,tick_pct,cost_pct,avg_win_pct,avg_loss_pct,req_winrate,turnover_med_rm,rows,verdict
7160.KL,5.09,0.196,0.52,4.55,3.96,0.526,5515608,2848,KEEP
0208.KL,2.55,0.392,0.716,4.63,3.85,0.539,6584314,1767,KEEP
5183.KL,4.3,0.233,0.557,4.29,3.94,0.547,18690724,2849,KEEP
0166.KL,2.61,0.383,0.707,4.51,3.9,0.548,25170539,2847,KEEP
6742.KL,5.75,0.174,0.498,3.78,3.48,0.548,36124099,2849,KEEP
5681.KL,20.38,0.098,0.422,2.43,2.18,0.564,7413610,2849,KEEP
0128.KL,4.95,0.202,0.526,2.88,2.55,0.566,13944277,2829,KEEP
4677.KL,2.4,0.417,0.741,4.17,3.77,0.568,31527595,2848,KEEP
5246.KL,6.87,0.146,0.47,1.94,1.54,0.578,15579564,2844,KEEP
8869.KL,7.97,0.125,0.449,2.26,2.03,0.578,43572524,2836,KEEP
5168.KL,0.955,0.524,0.848,4.27,4.05,0.588,10259082,2849,KEEP
5398.KL,4.67,0.214,0.538,2.6,2.42,0.59,71754736,2846,KEEP
1023.KL,7.99,0.125,0.449,1.86,1.58,0.591,109636114,2849,KEEP
4065.KL,9.96,0.1,0.424,2.08,2.01,0.594,5938053,2849,KEEP
5031.KL,6.0,0.167,0.491,1.58,1.16,0.602,6254975,2835,DROP
7277.KL,2.01,0.498,0.822,3.23,2.84,0.603,12476699,2849,DROP
4197.KL,2.6,0.385,0.709,2.83,2.53,0.604,17982291,2846,DROP
3336.KL,2.94,0.34,0.664,3.11,3.14,0.609,19051798,2847,DROP
2445.KL,22.38,0.089,0.413,1.67,1.55,0.61,8581422,2845,DROP
2488.KL,5.04,0.198,0.522,1.85,1.69,0.625,7530102,2840,DROP
5225.KL,7.99,0.125,0.449,1.42,1.19,0.627,42808366,2849,DROP
5819.KL,23.88,0.084,0.408,1.36,1.19,0.627,18459703,2849,DROP
5285.KL,6.4,0.156,0.48,1.63,1.52,0.634,25124040,2135,DROP
7293.KL,2.07,0.483,0.807,2.54,2.27,0.639,6327229,2842,DROP
1295.KL,5.0,0.2,0.524,1.56,1.32,0.64,75668863,2847,DROP
5211.KL,4.97,0.201,0.525,2.04,2.17,0.64,31054171,2847,DROP
1082.KL,18.98,0.105,0.429,1.3,1.2,0.651,2004401,2844,DROP
6012.KL,3.57,0.28,0.604,1.87,1.76,0.652,7841556,2848,DROP
3182.KL,2.04,0.49,0.814,2.4,2.15,0.652,13837082,2848,DROP
4863.KL,7.78,0.129,0.453,1.41,1.39,0.658,31798898,2849,DROP
3816.KL,7.77,0.129,0.453,1.52,1.63,0.662,14888124,2849,DROP
1066.KL,8.31,0.12,0.444,1.3,1.24,0.662,39030182,2828,DROP
6888.KL,1.77,0.565,0.889,2.54,2.51,0.674,11828953,2845,DROP
6947.KL,2.71,0.369,0.693,1.92,1.9,0.678,9186144,2845,DROP
1155.KL,10.58,0.189,0.513,1.22,0.99,0.681,111941994,2848,DROP
7084.KL,3.83,0.261,0.585,1.57,1.63,0.692,9093768,2839,DROP
5296.KL,1.33,0.752,1.076,2.76,2.76,0.695,16469990,1431,DROP
5347.KL,13.68,0.146,0.47,1.27,1.4,0.701,84611247,2848,DROP
4715.KL,1.63,0.613,0.937,2.16,2.16,0.717,10883832,2848,DROP
5176.KL,2.08,0.481,0.805,1.81,1.76,0.718,5658975,2845,DROP
6033.KL,17.62,0.114,0.438,1.09,1.24,0.719,8166737,2848,DROP
5258.KL,2.12,0.472,0.796,1.39,1.48,0.794,1945690,2807,DROP
0138.KL,0.24,2.083,2.407,2.83,3.7,0.936,43955748,2843,DROP
